titre,entreprise,secteur,localisation,competences,experience,contrat,cluster
Mécanicien poids lourd,Confidentiel,Transport / Achat / Logistique,Tanger,"- experience en mecanique poids lourd (obligatoire) - connaissances en systemes mecaniques, electriques et pneumatiques - autonomie, rigueur et sens des responsabilites","en mecanique poids lourd (obligatoire) - connaissances en systemes mecaniques, electriques et pneumatiques - autonomie, rigueur et sens des responsabilites",CDI,7
Vendeur / vendeuse,SOCIÉTÉ,Commercial / Vente,Casablanca,"serieux(se), organise(e) et dynamique bon sens relationnel (surtout pour le poste de vendeur(se)) experience souhaitee (un plus) esprit dequipe poste base a casablanca ( maarif , bd al quds ,morocco mall , oulfa )","souhaitee (un plus) esprit dequipe poste base a casablanca ( maarif , bd al quds ,morocco mall , oulfa )",A discuter,1
Operateur de traitement des donnees a,MARECORDS,Services aux Entreprises / Formation,Casablanca,,dans le meme,CDD,0
Commercial(e) en ameublement /,TANKIT,Commercial / Vente,Tanger,"bac+2/3 en commerce ou equivalent experience en vente, idealement en ameublement ou decoration excellent sens du service et relationnel gout pour le design et lamenagement interieur dynamisme, persuasion et esprit commercial - nous offrons : un cadre de travail motivant une remuneration attractive avec com","en vente, idealement en ameublement ou decoration excellent sens du service et relationnel gout pour le design et lamenagement interieur dynamisme, persuasion et esprit commercial - nous offrons : un cadre de travail motivant une remuneration attractive avec com",CDI,1
Contrôleur(se) de caméras / vidéosurveillance,Entreprise (franchise de coffee shop),Sécurité / Surveillance / Gardiennage,Casablanca,"experience en surveillance, securite ou telesurveillance - excellente capacite dattention et danalyse - maitrise des outils de videosurveillance - discretion, rigueur et respect des procedures internes lieu : casablanca interesse(e) ? postulez des maintenant en envoyant votre cv via ce site","en surveillance, securite ou telesurveillance - excellente capacite dattention et danalyse - maitrise des outils de videosurveillance - discretion, rigueur et respect des procedures internes lieu : casablanca interesse(e) ? postulez des maintenant en envoyant votre cv via ce site",,4
Chargé (e) de compte commercial,SARL,Transport / Achat / Logistique,Casablanca,"bac+3 a bac+5 (commerce, logistique ou equivalent) experience minimum de 3 ans en commercial b2b (transport/logistique est un plus) excellentes capacites de communication et de negociation sens du resultat et orientation performance esprit analytique et capacite dadaptation autonomie et proactivite - ce que nous offrons environnement dynamique et en forte croissance opportunites devolution rapide remuneration attractive (fixe + variable)",minimum de 3 ans en commercial b2b (transport/logistique est un plus) excellentes capacites de communication et de negociation sens du resultat et orientation performance esprit analytique et capacite dadaptation autonomie et proactivite - ce que nous offrons environnement dynamique et en forte croissance opportunites devolution rapide remuneration attractive (fixe + variable),CDI,7
Assistant(e) rh / chargé(e) de recrutement,TANKIT,Ressources Humaines / Recrutement / Intérim,Tanger,"- bac+2/3 en ressources humaines ou equivalent - premiere experience en recrutement souhaitee - excellentes capacites de communication et decoute - sens de lorganisation et gestion des priorites - dynamisme, reactivite et esprit dequipe nous offrons : - un environnement de travail professionnel et dynamique - une experience enrichissante dans les ressources humaines - des perspectives devolution poste base a : tanger - disponibilite : immediate","en recrutement souhaitee - excellentes capacites de communication et decoute - sens de lorganisation et gestion des priorites - dynamisme, reactivite et esprit dequipe nous offrons : - un environnement de travail professionnel et dynamique - une experience enrichissante dans les ressources humaines - des perspectives devolution poste base a : tanger - disponibilite : immediate",CDI,4
Administrateur des ventes,SAFE JOB,Industrie / Ingénierie / Energie,Casablanca,de notre client base a sidi maarouf casablanca des adv administrateurs de vente. merci de nous envoyer votre cv pour une selection.,,Interim,8
Responsable marketing & développement commercial,Cabo azul,Marketing / Communication / Publicité / Rp,Casablanca,experience en marketing immobilier ou generation de leads bonne maitrise du digital marketing et des outils dacquisition esprit oriente resultats et ventes excellent relationnel et capacite a developper un reseau de partenaires,en marketing immobilier ou generation de leads bonne maitrise du digital marketing et des outils dacquisition esprit oriente resultats et ventes excellent relationnel et capacite a developper un reseau de partenaires,A discuter,4
Un agent de tracking / shift nuit /,transport logistique,Transport / Achat / Logistique,Tanger,,,A discuter,7
Commercial industriel,SMARTIMA AUTOMATION,Commercial / Vente,Casablanca,"experience confirmee en vente b2b idealement dans le secteur industriel bonne connaissance du materiel electrique, pneumatique, hydraulique ou automatisme excellent relationnel et sens de la negociation dynamique, autonome et oriente resultats permis de conduire souhaite nous offrons","confirmee en vente b2b idealement dans le secteur industriel bonne connaissance du materiel electrique, pneumatique, hydraulique ou automatisme excellent relationnel et sens de la negociation dynamique, autonome et oriente resultats permis de conduire souhaite nous offrons",A discuter,1
Développeuse web,,Informatique / Multimédia / Internet,Casablanca,,apres la,A discuter,4
Kinésithérapeutes aéroport & marrakech,Centre de bien être,Santé / Médical,Casablanca,"diplome en kinesitherapie * bon niveau en francais et en anglais * sens du service, serieux et presentation soignee conditions :",,Anapec,3
Charge (e) marketing digital,,Marketing / Communication / Publicité / Rp,Casablanca,"requises : - bonne maitrise du marketing digital ; - gestion de reseaux sociaux : bonne maitrise de google ads/ bonne maitrise de meta pour lancement des campagnes publicitaires. - aisance redactionnelle ; - gestion de site web e-commerce (wordpress) , - referencement seo...; - bonne maitrise des outils bureautiques, caneva... ; - bonne elocution en francais ; profil : bac+5 dans une ecole de commerce avec une specialite marketing et 3 ans d'experience en tant que responsable marketing digital. si vous vous retrouvez dans ce profil, ecrivez nous vite.",dans un poste similaire et un esprit creatif.,A discuter,4
Technicien cfo/cfa,INVITECH SOLUTIONS,Informatique / Multimédia / Internet,Agadir,"cles : autonomie, rigueur, bonnes relations clients. capacite a lire des plans, maitrise des outils de mesure. connaissances des technologies evolutives. securite : systemes d'alarme (intrusion, incendie), videosurveillance, controle d'acces (lecteurs de badges, motorisations). communication : telephonie, reseaux informatiques (vdi), interphonie, domotique.",2-5 ans d'experience minimum,CDI,4
Comptable expérimentée,GEO4NET,Informatique / Multimédia / Internet,Casablanca,"formation bac+3 ou bac+5 en comptabilite ou equivalent experience minimum de 3 ans, idealement en cabinet dexpertise comptable ou en","minimum de 3 ans, idealement en cabinet dexpertise comptable ou en",A discuter,4
Responsable des ressources humaines (h/f),Confidentiel,Comptabilité / Gestion / Audit,Kénitra,,"requise : minimum 5 ans - secteur : agro-alimentaire - disponibilite : poste a pourvoir rapidement dans le cadre dun renforcement de ses equipes, une",CDI,2
Technico commercial(e) h/f / magasinier industriel,Confidentiel,Industrie / Ingénierie / Energie,Casablanca,"-experience en pose de menuiserie industrielle ( portes, placardes) -excellent relationnel, rigueur technique et sens de l'organisation, bonne communication et prise de contact, redaction des pv -permis b requis ( deplacements frequents ) -bac+2 avec plus de 3 ans d'experiences magasinier industriel (homme)","en pose de menuiserie industrielle ( portes, placardes) -excellent relationnel, rigueur technique et sens de l'organisation, bonne communication et prise de contact, redaction des pv -permis b requis ( deplacements frequents ) -bac+2 avec plus de 3 ans d'experiences magasinier industriel (homme)",A discuter,8
Assistante administatif & comptable,entreprise,Comptabilité / Gestion / Audit,Casablanca,,,,2
Comptable expérimenté,Fiduciaire Internationale,Comptabilité / Gestion / Audit,Casablanca,"maitrise des normes comptables et fiscales locales et internationales. qualites personnelles : rigueur, sens de lorganisation et esprit analytique. autonomie et capacite a travailler efficacement en equipe. excellentes","minimum 2 ans dexperience reussie en comptabilite, idealement au sein dun cabinet dexpertise comptable.",A discuter,2
Assistante achat,equipement industrielle,Industrie / Ingénierie / Energie,Casablanca,la communication ecrite et parlante en francais et si vous avez l'esprit d'equipe veuillez nous envoyer votre cv,,CDD,8
Technicien de maintenance électricité,SOCIETE ANONYME,Maintenance / Entretien,Tout le Maroc,"formation en electricite, maintenance industrielle ou genie climatique experience souhaitee dans un poste similaire rigueur, autonomie et esprit dequipe - lieu : tanger / rabat / casa","souhaitee dans un poste similaire rigueur, autonomie et esprit dequipe - lieu : tanger / rabat / casa",A discuter,4
Commerciale bureau,AM PROD,Commercial / Vente,Casablanca,,"au moins 2 ans , les interesses envoient leurs cv , merci",CDI,1
Technico commerciaux / et casablanca,Confidentiel,Industrie / Ingénierie / Energie,Mohammedia,,"reussie de 3 a 8 ans dans un poste similaire ou proche, en matiere de commercialisation soit dequipements, de consommables industrielles, de produits chimiques, ou projets techniques. ainsi, vos activites principales seront de : identifier de nouvelles opportunites commerciales dans les secteurs cibles. construire et developper un portefeuille clients durable via une prospection structuree et ciblee. organiser des visites clients regulieres afin de comprendre leurs besoins et proposer des solutions adaptees. assurer une presence terrain importante et developper une relation de proximite avec les clients. elaborer les offres commerciales et propositions techniques en collaboration avec lequipe avant-vente. assurer une veille concurrentielle active et proposer des actions damelioration des services. communiquer des reportings hebdomadaires sur les actions commerciales. package attractif",CDI,8
Coursier administratif moto ain sebaa,xxxx,Autre,Casablanca,,,Interim,3
Vendeuse expérimentée /,,Commercial / Vente,Casablanca,"excellent sens du relationnel et du service client. presentation soignee et attitude professionnelle. esprit dequipe, dynamisme et polyvalence","client unique. vous accueillez, conseillez et accompagnez la clientele dans ses achats, tout en veillant a la mise en valeur des produits et au maintien de limage raffinee du magasin.",Interim,1
Comptable pour un cabinet fiduciaire /,Pj,Comptabilité / Gestion / Audit,Casablanca,,"souhaitee, notamment dans letablissement du bilan.",CDI,2
Assistante rh en intérim,PJ,Accueil / Secrétariat / Administration,Casablanca,gerer les priorites dans un environnement dynamique. - bonnes,"en administration du personnel. - autonome, organise(e) et capable de gerer les priorites dans un environnement dynamique. - bonnes",Interim,4
Stagiaire en comptabilité / / bac+2,PJ,Comptabilité / Gestion / Audit,Casablanca,"formation en comptabilite / gestion (bac+2 ou plus) bonne maitrise dexcel rigueur, confidentialite et sens des responsabilites motivation pour evoluer en cabinet fiduciaire nous offrons : stage remunere encadrement et apprentissage pratique possibilite dintegration apres le stage",,Stage,2
dessinateur projeteur,PJ,Industrie / Ingénierie / Energie,Casablanca,"- diplome en genie mecanique, construction metallique ou dessin industriel - maitrise des logiciels de conception (autocad, sketchup ou equivalent) - experience souhaitee dans un poste similaire - rigueur, precision et esprit dequipe - capacite danalyse et sens de lorganisation","souhaitee dans un poste similaire - rigueur, precision et esprit dequipe - capacite danalyse et sens de lorganisation",Interim,8
Infirmière préleveuse laboratoire d'analyses médic,IMMCELL,Santé / Médical,Rabat,la langue francaise. poste cdi apres periode d'essai.,"confirmee des prelevements adultes, enfants et nouveaux nes ainsi que des enregistrements de dossiers de patients de preference sur le logiciel kalisil. la candidate doit avoir une excellente capacite relationnelle, une presentation impeccable et maitriser la langue francaise. poste cdi apres periode d'essai.",A discuter,3
Electricien,TRAVAUX,Construction / Btp,Marrakech,"les installations electriques, notamment le cablage et les armoires electriques, il devra etre capable de lire et dinterpreter des plans electriques, assurer linstallation, la mise en service, la maintenance et le depannage des equipements, tout en respectant les normes de securite en vigueur. nous recherchons une personne serieuse, autonome et ayant un bon esprit dequipe. le poste est a pourvoir des que possible, avec des conditions a definir selon le profil.",minimum de 3 ans dans le,CDI,3
Support it,distra,Informatique / Multimédia / Internet,Deroua,"-bac +3 / bac +5 en informatique, reseaux ou systemes. -minimum 2 ans dexperience dans un poste similaire.",dans un poste similaire.,A discuter,4
Commercial pro b2b,,Commercial / Vente,Casablanca,,,A discuter,1
Ingénieur chargé des appels d’offres & développement,confidentiel,Maintenance / Entretien,Rabat,- ingenieur en genie electrique. - maitrise du metier de la maintenance multi-technique - minimum 2 ans dexperience dans le,dans le,A discuter,4
Assistante import,confidentiel,Entreprise / Import / Export,Casablanca,diplome : bac+4 en commerce international - experience : minimum 2 ans dans le,minimum 2 ans dans le,A discuter,4
Candidature technicien topographe,foncière alia,Immobilier,Rabat,formation en topographie (technicien specialise ou equivalent) 3 ans dexperience minimum en topographie ou vrd qualites requises rigueur et precision autonomie sur le terrain sens de lanalyse reactivite et capacite a remonter les in,minimum en topographie ou vrd qualites requises rigueur et precision autonomie sur le terrain sens de lanalyse reactivite et capacite a remonter les in,CDI,4
Commis/coursier en douane,TRANSPORTEC,Entreprise / Import / Export,Casablanca,- experience confirmee dans le,confirmee dans le,CDI,4
Chargée des opérations,Z-Evolution,Santé / Médical,Rabat,s recherches: - bac+2 en secretariat - bonne presentation - bonne elocution en francais,s de moins d'un an sur la,Anapec,3
Chargé des méthodes,confidentiel,Maintenance / Entretien,Rabat,"-bac +2 / bac +3 / bac +5 en maintenance industrielle, electrotechnique, electromecanique, genie industriel ou methodes -minimum 5 ans dexperience dans un poste similaire, idealement en maintenance multitechnique ou facility management -bonne maitrise des processus de maintenance preventive et corrective -maitrise dune gmao (planification, suivi des interventions) -capacite danalyse des indicateurs de performance -connaissances de base en electromecanique, electricite batiment, plomberie, climatisation - poste base a rabat","dans un poste similaire, idealement en maintenance multitechnique ou facility management -bonne maitrise des processus de maintenance preventive et corrective -maitrise dune gmao (planification, suivi des interventions) -capacite danalyse des indicateurs de performance -connaissances de base en electromecanique, electricite batiment, plomberie, climatisation - poste base a rabat",A discuter,4
Chef projet marketing,TAGANA,Marketing / Communication / Publicité / Rp,Marrakech,formation: master en marketing experience: 2 a 5 ans la maitrise du francais est obligatoire,2 a 5 ans la maitrise du francais est obligatoire,CDI,4
Agent de guichet femme,Bureau de change,Banque / Finance / Assurance,Casablanca,"-femme, presentation soignee et excellent sens du relationnel - niveau bac +2 minimum (commerce, gestion ou equivalent) - experience en caisse fortement souhaitee - serieuse, rigoureuse et a laise avec les chiffres - bonne gestion du stress et sens du service client - bonne maitrise de la langue francaise merci denvoyer votre cv avec photo","en caisse fortement souhaitee - serieuse, rigoureuse et a laise avec les chiffres - bonne gestion du stress et sens du service client - bonne maitrise de la langue francaise merci denvoyer votre cv avec photo",CDI,4
responsable moyens généraux,LYS IMMO,Immobilier,Marrakech,"bac+3 en gestion, logistique ou equivalent experience dans un poste similaire (souhaitee) bonne capacite dorganisation et de gestion des priorites sens du service et reactivite maitrise des outils bureautiques conditions : poste base a marrakech",dans un poste similaire (souhaitee) bonne capacite dorganisation et de gestion des priorites sens du service et reactivite maitrise des outils bureautiques conditions : poste base a marrakech,,4
Jardinier / gardien,anonyme,Sécurité / Surveillance / Gardiennage,Mohammedia,"experience en jardinage souhaitee serieux, ponctuel et responsable autonomie et sens de lorganisation bonne condition physique sens du service et vigilance - conditions : lieu de travail : mohammedia type de","en jardinage souhaitee serieux, ponctuel et responsable autonomie et sens de lorganisation bonne condition physique sens du service et vigilance - conditions : lieu de travail : mohammedia type de",A discuter,4
Comptable expérimentée,SARL,Comptabilité / Gestion / Audit,Casablanca,"diplome en comptabilite, gestion ou finance. experience minimale de 8 ans dans un poste similaire. bonne maitrise des logiciels comptables (sage ou equivalent). maitrise des outils bureautiques (excel, word). rigueur, sens de lorganisation et esprit danalyse. bon relationnel et capacite a travailler en equipe. lieu : casablanca remuneration : selon profil","minimale de 8 ans dans un poste similaire. bonne maitrise des logiciels comptables (sage ou equivalent). maitrise des outils bureautiques (excel, word). rigueur, sens de lorganisation et esprit danalyse. bon relationnel et capacite a travailler en equipe. lieu : casablanca remuneration : selon profil",A discuter,2
Responsable achats,GDH,Transport / Achat / Logistique,Casablanca,"bac + 3 ou plus en commerce, gestion ou logistique","dans un poste similaire, idealement dans le secteur de la restauration ou agroalimentaire. bonne connaissance des circuits dapprovisionnement et des produits lies a la restauration. maitrise des outils de gestion des stocks et des achats. sens de lorganisation, rigueur et capacite de negociation. reactivite et aptitude a gerer les priorites dans un environnement dynamique",CDI,7
Ingénieur agronome (production végétale),ANONYME,Agriculture / Environnement / Espaces Verts,Berrechid,suivre les instructions motive pour apprendre et evoluer a laise sur terrain,"est un plus) personne a lecoute, serieuse, disciplinee et capable de suivre les instructions motive pour apprendre et evoluer a laise sur terrain",A discuter,3
Comptable confirme,Confidentielle,Comptabilité / Gestion / Audit,Casablanca,- maitriser le pack office - maitriser les outils informatiques - connaissances des dispositions legales et reglementaires en vigueur dans le pays - connaissance en droit fiscal et droit des societes - avoir une parfaite m,minimum de 5 ans de preference dans le secteur industriel et ayant realise 3 saisons fiscales. vous aurez comme principales,CDI,2
Charge(e) rh,RH,Ressources Humaines / Recrutement / Intérim,El jadida,(,"de 3 ans dans un poste similaire bonne connaissance du droit du travail marocain maitrise des outils bureautiques (excel, word, etc.) maitrise les systemes de la paie (ex : sage-maropaie-odoo) maitrise la declaration et la teledeclaration au portail cnss sens de lecoute, discretion et rigueur bon relationnel et esprit dequipe ________________________________________ conditions : type de",A discuter,3
Poste formaticien,,Informatique / Multimédia / Internet,Marrakech,,,CDI,4
Chauffeur livreur magasinier (h),OMEGA TEXTILE MAROC,Autre,Casablanca,supporter la manutention de charges. habitude du travail dans un environnement commercial a flux rapide.,"significative de la conduite en zone urbaine (casablanca). excellente connaissance du quartier de derb omar et des zones commerciales environnantes. sens des responsabilites, honnetete et ponctualite rigoureuse. bonne condition physique. conditions : lieu de travail : derb omar, casablanca. horaires : selon le planning du magasin. disponibilite : immediate. magasinier de stock (h/) vos",A discuter,3
Responsable de pâtisserie adjoint,La Terrasse des épices,Tourisme / Hôtellerie / Restauration,Marrakech,experience probante dans la meme,probante dans la meme,A discuter,6
Responsable ressources humaines,,Ressources Humaines / Recrutement / Intérim,El jadida,"bac+5 en ressources humaines, management ou equivalent minimum 5 ans dexperience confirmee en rh expertise en recrutement et",confirmee en rh expertise en recrutement et,A discuter,3
Chargé clientèle et traitement de conformité,Olfcenter,Autre,Casablanca,"- excellente maitrise du francais a loral (critere obligatoire et eliminatoire) - tres bonne elocution et capacite a tenir une conversation professionnelle fluide - aisance telephonique et sens de lecoute - rigueur et sens du detail - maitrise des outils informatiques de base - serieux(se), ponctuel(le) et professionnel(le) nous offrons : - un environnement de travail structure et professionnel - une",,CDI,4
Magasinière,x,Entreprise / Import / Export,Casablanca,"rigueur, sens de l'organisation et esprit d'equipe",,A discuter,4
Agent de production de parfums à sidi maarouf,Sentel,Industrie / Ingénierie / Energie,Casablanca,experience en production appreciee * rigueur et sens du detail * capacite a travailler en equipe et sous pression poste base a casablanca sidi maarouf. disponibilite immediate souhaitee.,en production appreciee * rigueur et sens du detail * capacite a travailler en equipe et sous pression poste base a casablanca sidi maarouf. disponibilite immediate souhaitee.,CDI,8
Assistante import export,,Transport / Achat / Logistique,Casablanca,,de deux ans minimum en transport international,A discuter,7
Comptable,,Comptabilité / Gestion / Audit,Casablanca,"formation bac+3en comptabilite, gestion ou finance premiere experience en cabinet souhaitee bonne maitrise des outils comptables (sage, excel...) connaissance de la reglementation fiscale marocaine rigueur, organisation et esprit danalyse","en cabinet souhaitee bonne maitrise des outils comptables (sage, excel...) connaissance de la reglementation fiscale marocaine rigueur, organisation et esprit danalyse",CDI,2
Commercial immobilier,JALIL,Commercial / Vente,Casablanca,"formation en commerce, immobilier ou equivalent experience en vente appreciee excellent sens du relationnel et de la negociation autonomie, motivation et esprit commercial bonne presentation","en vente appreciee excellent sens du relationnel et de la negociation autonomie, motivation et esprit commercial bonne presentation",CDI,1
Infographiste/assistante polyvalente,MEDICALEX,Santé / Médical,Casablanca,"formation en infographie, design graphique ou equivalent maitrise des logiciels : adobe photoshop, illustrator, indesign maitrise des outils bureautiques creativite, sens du detail et respect des delais capacite a travailler en equipe et autonomie in",,CDI,4
Vendeur(se) à l’aéroport d’ &casablanca,Cosmétique bio,Commercial / Vente,Agadir,- experience en vente obligatoire - etre motorise(e) (obligatoire) - bonne maitrise du francais et de langlais - presentation soignee et sens du service client - disponible en horaires flexibles - capable dassurer des shifts de nuit nous offrons,en vente obligatoire - etre motorise(e) (obligatoire) - bonne maitrise du francais et de langlais - presentation soignee et sens du service client - disponible en horaires flexibles - capable dassurer des shifts de nuit nous offrons,Anapec,1
Assistante technique (tÉlÉcom / gÉnie civil),FIBROTRAV,Construction / Btp,Tanger,obligatoires - maitrise dautocad (dessin 2d) obligatoire. - tres bonne maitrise dexcel obligatoire. bonne maitrise de word. connaissances en suivi de travaux et calcul des metres. experience - minimum 1 an dexperience obligatoire dans le,minimum 1 an dexperience obligatoire dans le,CDD,4
Chauffeur transport du personnel (permis d),Linkup Value,Transport / Achat / Logistique,Casablanca,requises,"confirmee en transport de personnel ou conduite de poids lourds. - residence a casablanca ou peripherie obligatoire. - sens des responsabilites, discipline et bon relationnel. poste base a casablanca.",CDI,7
Chauffeur camion assistante de direction,GOLD LERA,Autre,Temara,"-longue experience confirmee en conduite de camions . -permis poids lourd (toutes categories / tous risques) exige. -serieux, ponctuel et responsable. residant a temara. 2/ assistante de direction (femme)","confirmee en conduite de camions . -permis poids lourd (toutes categories / tous risques) exige. -serieux, ponctuel et responsable. residant a temara. 2/ assistante de direction (femme)",A discuter,4
Chargé d’exploitation transport (h/f),Confidentiel,Transport / Achat / Logistique,Tanger,informatiques : maitrise du pack office et des outils de gestion lies au transport/logistique,minimum 2 ans dans un poste similaire (obligatoire) dans une societe de transport international.,CDI,7
Employé polyvalent,Riad / Maison d'hote,Tourisme / Hôtellerie / Restauration,Marrakech,,,A discuter,6
Coordinateur pédagogique,Ihb art media,Services aux Entreprises / Formation,Casablanca,bac +3 (licence) minimum avec 5 ans dexperience dans la,dans la,CDI,0
Commercial en immobilier,TAGANA,Immobilier,Marrakech,,"minimum et obligatoire dans la commercialisation de biens immobiliers. - excellente maitrise du marche immobilier a marrakech. - tres bon relationnel, force de proposition et rigueur. - maitrise des outils crm et techniques de negociation.",CDI,1
Plongeur,,,Casablanca,"rigueur dans le respect des protocoles dhygiene et de securite alimentaire (haccp) savoir-etre : serieux, rapidite dexecution, organisation, esprit dequipe et discretion disponibilite et flexibilite horaire : travail en soiree, week-ends et jours feries",,,4
Night auditor,HOTIN,Tourisme / Hôtellerie / Restauration,Marrakech,"experience en reception d'hotel, idealement en night audit rigueur, autonomie et maitrise des outils pms et excel francais et anglais courants conditions","en reception d'hotel, idealement en night audit rigueur, autonomie et maitrise des outils pms et excel francais et anglais courants conditions",A discuter,6
Responsable logistique,HOTIN,Industrie / Ingénierie / Energie,Casablanca,bac+5 en supply chain / logistique experience confirmee en management logistique maitrise erp / wms et excel avance conditions,confirmee en management logistique maitrise erp / wms et excel avance conditions,A discuter,8
Veilleur de nuit / night audit,RIAD,Tourisme / Hôtellerie / Restauration,Marrakech,experience souhaitee dans un poste similaire (hotellerie/riad est un plus) sens des responsabilites et de la discretion bonne presentation et bon relationnel notions de base en francais (langlais est un atout) disponibilite pour travail de nuit,souhaitee dans un poste similaire (hotellerie/riad est un plus) sens des responsabilites et de la discretion bonne presentation et bon relationnel notions de base en francais (langlais est un atout) disponibilite pour travail de nuit,A discuter,6
Infographiste j/f,WALLDESIGN,Informatique / Multimédia / Internet,Casablanca,"maitrise des logiciels pao (photoshop, illustrator, indesign...) sens de la creativite et du design passion pour lunivers de la decoration dinterieur esprit dinitiative et travail en equipe poste base a maarif casablanca - merci denvoyer votre cv via ce site",,CDI,4
Commercial senior et comptable junior,,Immobilier,Casablanca,"- minimum 10 ans dexperience confirmee dans la vente immobiliere - solide expertise commerciale et capacite a conclure des ventes a forte valeur - maitrise avancee des outils digitaux et des strategies de generation de leads - sens du relationnel, autonomie et culture du resultat - un comptable junior","confirmee dans la vente immobiliere - solide expertise commerciale et capacite a conclure des ventes a forte valeur - maitrise avancee des outils digitaux et des strategies de generation de leads - sens du relationnel, autonomie et culture du resultat - un comptable junior",CDI,1
Opérateurs de production / h tit melil,confidentiel,Industrie / Ingénierie / Energie,Casablanca,"requises : - solides connaissances en production industrielle, mecanique ou electromecanique - rigueur, ponctualite et bon esprit dequipe","minimum 1 an dans un poste similaire, idealement en milieu industriel - lieu de travail : tit melil - disponibilite : immediate souhaitee",A discuter,8
Responsable commercial villas de luxe à,Bali Signature,Commercial / Vente,Marrakech,"- excellente presentation et sens du relationnel - experience confirmee dans la vente, idealement dans limmobilier ou le - haut de gamme - maitrise parfaite du francais (langlais est un atout) - sens de lecoute, organisation et rigueur - esprit commercial, perseverance et orientation resultats - bonne maitrise des outils informatiques localisation : marrakech (sur site bureau de vente du projet) type de",haut de gamme - organiser et realiser les visites des villas temoins et du projet - repondre aux appels telephoniques et aux demandes din,CDD,1
Agent de recouvrement terrain (h/f),confidentiel,Industrie / Ingénierie / Energie,Casablanca,"(obligatoire) bac+2 / bac+3 en gestion, comptabilite ou",dans un poste similaire.,A discuter,8
Technicien froid/energie/,sarl,Industrie / Ingénierie / Energie,Casablanca,,de 2 ans dans un poste similaire. le poste est base a casablanca.,Interim,8
Réceptionniste agence immobilière,Action Tng,Accueil / Secrétariat / Administration,Tanger,serieux(se) et presentable * bon relationnel * francais correct (anglais est un plus) poste a tanger,,CDD,4
Magasinier sur,HOTIN,Industrie / Ingénierie / Energie,Tanger,"experience en magasinage / gestion de stock rigueur, organisation et maitrise d'un outil de gestion caces apprecie conditions","en magasinage / gestion de stock rigueur, organisation et maitrise d'un outil de gestion caces apprecie conditions",A discuter,8
