Titre du poste,Entreprise,Secteur d'activite,Localisation geographique,Competences requises,Niveau d'experience requis,Type de contrat,Date de publication,URL source de l'offre
Messagerie & transport / casablanca,Confidentiel,Transport / Achat / Logistique,Tout le Maroc,,dans le transport/logistique est un plus,A discuter,1 Apr-16:21,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10352256/Messagerie-et-transport-casablanca.html
Responsable informatique - casablanca,TECTRA,Informatique / Multimédia / Internet,Casablanca,"- maitrise des systemes reseaux et infrastructures -bonne connaissance en cyber securite -experience en solutions erp et cloud -connaissance des bonnes pratiques it (itil, gestion de projet)",minimum 5 ans dexperience en informatique -experience confirmee en gestion de projets it,A discuter,27 Apr-11:53,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10369995/Responsable-informatique-casablanca.html
Commercial digital (h/f) à casablanca / bac+5,PJ,Commercial / Vente,Casablanca,,"reussie sur le terrain, vous connaissez les cycles de vente - temperament : chasseur dans l'ame, excellent negociateur, sens de l'ecoute avant de postuler, assurez-vous que votre profil corresponde bien au poste",CDI,28 Apr-12:29,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10365946/Commercial-digital-(hf)-à-casablanca-bac5.html
Employé polyvalent,Riad / Maison d'hote,Tourisme / Hôtellerie / Restauration,Marrakech,,,A discuter,28 Apr-10:20,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10369868/Employé-polyvalent.html
Coordinateur pédagogique,Ihb art media,Services aux Entreprises / Formation,Casablanca,,dans la,CDI,28 Apr-10:20,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10365978/Coordinateur-pédagogique.html
Contrôleur(se) de gestion / analyste financier,confident,Comptabilité / Gestion / Audit,Casablanca,"bac+5 en finance, comptabilite ou controle de gestion experience de 2 a 5 ans dans un poste similaire maitrise des outils excel et logiciels de gestion (erp), bonne maitrise de sage 100 esprit analytique, rigueur et sens de lorganisation bon relationnel et capacite a travailler en equipe type de","de 2 a 5 ans dans un poste similaire maitrise des outils excel et logiciels de gestion (erp), bonne maitrise de sage 100 esprit analytique, rigueur et sens de lorganisation bon relationnel et capacite a travailler en equipe type de",CDI,29 Apr-10:15,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10361935/Contrôleur(se)-de-gestion-analyste-financier.html
manutentionnaires (h/f),manpower,Autre,Bouskoura,"bonne condition physique serieux(se), ponctuel(le) et motive(e) une premiere experience en manutention est un atou",en manutention est un atou,Interim,29 Apr-10:13,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371493/Manutentionnaires-(HF).html
Chargée de clientèle arabophone (f),CL,Commercial / Vente,Casablanca,"energie positive naturelle et attitude motivee excellent relationnel et esprit dequipe personne proactive, serieuse et impliquee ce que nous valorisons avant tout : - la motivation - lenvie dapprendre - une vraie energie dans la communication nous offrons : environnement de travail stimulant",,CDI,29 Apr-10:13,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10357811/Chargée-de-Clientèle-Arabophone-(F).html
Commercial en immobilier,TAGANA,Immobilier,Marrakech,,"minimum et obligatoire dans la commercialisation de biens immobiliers. - excellente maitrise du marche immobilier a marrakech. - tres bon relationnel, force de proposition et rigueur. - maitrise des outils crm et techniques de negociation.",CDI,29 Apr-10:10,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10365167/COMMERCIAL-EN-IMMOBILIER.html
Assistant administratif (h/f) - tÉtouan,LE BERGER,Industrie / Ingénierie / Energie,Tetouan,"bac+3 en gestion, comptabilite ou equivalent. minimum 3 ans d'experience dans un poste similaire. maitrise pack office et outils comptables. organisation rigoureuse, francais/arabe courant, sens du relationnel. conditions : cdi","dans un poste similaire. maitrise pack office et outils comptables. organisation rigoureuse, francais/arabe courant, sens du relationnel. conditions : cdi",CDI,29 Apr-10:10,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10363560/ASSISTANT-ADMINISTRATIF-(HF)-TÉTOUAN.html
Chargé de projet en élevage ovin (technicien / ing,,,Benslimane,,confirmee de dix ans et plus dans lelevage ovin ou la gestion de projets agricoles - maitrise des etudes de faisabilite et du pilotage de projets - capacite a travailler en autonomie et a proposer des solutions concretes - sens de lorganisation et orientation resultats lieu dexploitation : region de benslimane type du,,29 Apr-10:05,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10361019/Chargé-de-projet-en-élevage-ovin-(Technicien-Ing.html
Ouvriers - zenata,Confidentiel,Immobilier,Casablanca,,,Interim,29 Apr-10:03,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10367634/Ouvriers-Zenata.html
Aide livreur permis c à casablanca,Confidentiel,Grande Distribution,Casablanca,- niveau bac ou plus - permis de conduire type c - experience obligatoire dans un poste similaire nhesitez pas a envoyer vos cv.,obligatoire dans un poste similaire nhesitez pas a envoyer vos cv.,A discuter,29 Apr-9:58,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371475/Aide-livreur-permis-C-à-Casablanca.html
Aide-technicien - tata,Anonyme,Construction / Btp,Zagora,"formation technique de base (electricite, maintenance ou equivalent) premiere experience en chantier souhaitee motivation, serieux et esprit dequipe capacite a apprendre et a suivre les consignes - localisation : tata","en chantier souhaitee motivation, serieux et esprit dequipe capacite a apprendre et a suivre les consignes - localisation : tata",Interim,29 Apr-9:58,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371478/Aide-technicien-TATA.html
Chauffeur opérateur engins & remorque (permis eb),Multinational,Industrie / Ingénierie / Energie,Casablanca,"- permis eb obligatoire - experience confirmee en conduite de camions avec remorque - experience souhaitee dans : - depanneuse - camion grue - remorque (groupe electrogene ou autres equipements) - bonne maitrise des techniques de chargement et dechargement - sens des responsabilites, autonomie et rigueur lieu : casablanca type de",dans le transport et la manipulation dengins.,CDI,29 Apr-9:58,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371477/Chauffeur-Opérateur-Engins-et-Remorque-(Permis-EB).html
Stagiaire talent acquisition - casablanca,Multinational,Ressources Humaines / Recrutement / Intérim,Casablanca,"- etudiant(e) en 4eme ou 5eme annee en management des ressources humaines ou equivalent - bonne aisance relationnelle et sens de la communication - organisation, rigueur et reactivite - maitrise des outils bureautiques important : - convention de stage obligatoire - debut de stage prevu : immediate - lieu : casablanca casa voyageurs - duree : 3 a 6 mois - type : stage",3 a 6 mois - type : stage,Stage,29 Apr-9:58,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371473/Stagiaire-Talent-Acquisition-Casablanca.html
Technicien plombier - tata,Anonyme,Construction / Btp,Zagora,,"equivalente experience en chantier souhaitee serieux, autonomie et sens du travail en equipe budget : 5 000 dhs logement : sur place",Interim,29 Apr-9:58,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371474/Technicien-Plombier-TATA.html
Technicien Électricien industriel & ht_bt - tata,Anonyme,Construction / Btp,Zagora,,"confirmee en ht/bt - bonne maitrise des equipements et reseaux electriques industriels - autonomie, rigueur et sens des responsabilites - experience en chantier fortement souhaitee - localisation : tata",Interim,29 Apr-9:58,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371470/Technicien-Électricien-Industriel-et-HT-BT-TATA.html
", agent administratif marketing",DEKRA,Banque / Finance / Assurance,Casablanca,,,Interim,29 Apr-9:57,"https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371469/,-agent-administratif-marketing.html"
Infirmière,DEKRA,Industrie / Ingénierie / Energie,Casablanca,,,Interim,29 Apr-9:57,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371466/infirmière.html
Chauffeurs semi-remorque et chauffeurs camion solo,Confidentiel,Construction / Btp,Casablanca,,de 2 ans et plus dans un poste similaire. - poste base a lissasfa,A discuter,29 Apr-9:57,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10309184/Chauffeurs-semi-remorque-et-Chauffeurs-camion-Solo.html
Commercial senior et comptable junior,,Immobilier,Casablanca,"- minimum 10 ans dexperience confirmee dans la vente immobiliere - solide expertise commerciale et capacite a conclure des ventes a forte valeur - maitrise avancee des outils digitaux et des strategies de generation de leads - sens du relationnel, autonomie et culture du resultat - un comptable junior","confirmee dans la vente immobiliere - solide expertise commerciale et capacite a conclure des ventes a forte valeur - maitrise avancee des outils digitaux et des strategies de generation de leads - sens du relationnel, autonomie et culture du resultat - un comptable junior",CDI,29 Apr-9:50,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10367478/Commercial-senior-et-comptable-junior.html
Opérateurs de production / h - tit melil,confidentiel,Industrie / Ingénierie / Energie,Casablanca,"requises : - solides connaissances en production industrielle, mecanique ou electromecanique - rigueur, ponctualite et bon esprit dequipe","minimum 1 an dans un poste similaire, idealement en milieu industriel - lieu de travail : tit melil - disponibilite : immediate souhaitee",A discuter,29 Apr-9:45,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10365124/Opérateurs-de-production-h-tit-melil.html
Aide livreur permis c à rabat,Confidentiel,Grande Distribution,Rabat,- niveau bac ou plus - permis de conduire type c - experience obligatoire dans un poste similaire nhesitez pas a envoyer vos cv.,obligatoire dans un poste similaire nhesitez pas a envoyer vos cv.,A discuter,29 Apr-9:43,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371464/Aide-livreur-permis-C-à-Rabat.html
Assistante administrative tanger,,Industrie / Ingénierie / Energie,Tanger,"bac+2 / bac+3 en gestion, administration ou equivalent experience prealable dans un poste similaire, idealement en milieu industriel maitrise des outils bureautiques (word, excel, powerpoint) bon niveau en francais (langlais est un atout) sens de lorganisation, rigueur et discretion bon relationnel et esprit dequipe conditions : poste base a tanger","prealable dans un poste similaire, idealement en milieu industriel maitrise des outils bureautiques (word, excel, powerpoint) bon niveau en francais (langlais est un atout) sens de lorganisation, rigueur et discretion bon relationnel et esprit dequipe conditions : poste base a tanger",A discuter,29 Apr-9:43,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371463/Assistante-Administrative-TANGER.html
Hôte / hôtesse - agadir,McDonald's Maroc,Tourisme / Hôtellerie / Restauration,Agadir,,"leader (gel) chez mcdonald's occupe un role central dans la satisfaction des clients et la preservation de la qualite de l'experience client du debut a la fin de leur visite. il/elle incarne la promesse de mcdonald's en servant des repas delicieux et en creant des moments agreables, accessibles a tous. sous la supervision du shift manager, le/la gel contribue activement a faire vivre la promesse client de la marque.",CDD,29 Apr-9:43,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10330364/Hôte-hôtesse-Agadir.html
Pré vendeur à marrakech,,Grande Distribution,Marrakech,,probante dans le,A discuter,29 Apr-9:38,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10335849/Pré-vendeur-à-Marrakech.html
Pré vendeur à el jadida,Confidentiel,Grande Distribution,El jadida,,probante dans le,A discuter,29 Apr-9:38,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10335848/Pré-vendeur-à-El-Jadida.html
Manutentionnaire à marrakech,Confidentiel,Transport / Achat / Logistique,Marrakech,,"en entrepot est un plus (non obligatoire).nous vous proposons un cadre de travail agreable et challengeant, avec une gestion de carriere au point et une declaration aupres des organismes sociaux a partir du 1er mois d'integration. si votre profil correspond aux criteres demandes, priere de nous transmettre votre candidature via ce site. dans l'attente de vous lire",A discuter,29 Apr-9:38,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371457/Manutentionnaire-à-Marrakech.html
Animatrice - f - bouskoura,Anonyme,Accueil / Secrétariat / Administration,Casablanca,"- experience souhaitable dans lanimation ou equivalent - excellente maitrise de la langue francaise, anglais est un plus - vous etes douce, patiente, et a lecoute des enfants - capacite a travailler en equipe et en autonomie","souhaitable dans lanimation ou equivalent - excellente maitrise de la langue francaise, anglais est un plus - vous etes douce, patiente, et a lecoute des enfants - capacite a travailler en equipe et en autonomie",Interim,29 Apr-9:38,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10285476/Animatrice-F-Bouskoura.html
Ingénieur-technico commercial / prescripteur en pvc,confident,Commercial / Vente,Casablanca,,2ans minimum en prescription poste base a nouaceur - casablanca disponibilite : asap,CDI,29 Apr-9:35,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10363509/Ingénieur-technico-commercial-prescripteur-en-pvc.html
Commercial rabat (homme),RH,Grande Distribution,Rabat,,de pre-vente dans la distribution. une moto et le carburant sont fournis pour le transport. - remuneration : 4000 dh fixe + 5000 dh variable,CDI,29 Apr-9:31,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371449/COMMERCIAL-RABAT-(Homme).html
Chargé de portefeuille - casa maarif / sbata,Fondation Arrawaj,Banque / Finance / Assurance,Casablanca,"pour le poste : charge de portefeuille - casablanca - titulaire dun bac+3 minimum en comptabilite, finance, commerce ou en gestion - jeune diplome ou justifiant dune premiere experience reussie comme commercial - dynamique, dote dune aisance relationnelle avec un gout prononce pour les challenges - bonne resistance a la pression et au stress - avoir lesprit d'initiative - bonne capacite dadaptation - habilete a creer du lien avec les clients","reussie comme commercial - dynamique, dote dune aisance relationnelle avec un gout prononce pour les challenges - bonne resistance a la pression et au stress - avoir lesprit d'initiative - bonne capacite dadaptation - habilete a creer du lien avec les clients",CDI,29 Apr-9:30,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371448/Chargé-de-Portefeuille-Casa-Maarif-Sbata.html
Agent de recouvrement terrain (h/f),confidentiel,Industrie / Ingénierie / Energie,Casablanca,"(obligatoire) bac+2 / bac+3 en gestion, comptabilite ou",dans un poste similaire.,A discuter,29 Apr-9:30,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10369796/Agent-de-recouvrement-terrain-(HF).html
Chargé de portefeuille - salé et régions,Fondation Arrawaj,Banque / Finance / Assurance,Salé,"pour le poste : charge de portefeuille - sale - titulaire dun bac+3 minimum en comptabilite, finance, commerce ou en gestion - jeune diplome ou justifiant dune premiere experience reussie comme commercial - dynamique, dote dune aisance relationnelle avec un gout prononce pour les challenges - bonne resistance a la pression et au stress - avoir lesprit d'initiative - bonne capacite dadaptation - habilete a creer du lien avec les clients","reussie comme commercial - dynamique, dote dune aisance relationnelle avec un gout prononce pour les challenges - bonne resistance a la pression et au stress - avoir lesprit d'initiative - bonne capacite dadaptation - habilete a creer du lien avec les clients",CDI,29 Apr-9:25,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371444/Chargé-de-Portefeuille-Salé-et-régions.html
Vendeur détail à ksar el kebir,,Grande Distribution,ksar el kebir,,probante dans le,A discuter,29 Apr-9:25,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10279974/Vendeur-détail-à-KSAR-EL-KEBIR.html
Analyste rh,Artus,Tourisme / Hôtellerie / Restauration,Marrakech,,,Interim,29 Apr-9:24,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371440/Analyste-RH.html
Pré-vendeur à salé,SAPLINCO,Commercial / Vente,Salé,niveau bac a bac+2 en commerce ou equivalent. experience souhaitee dans la vente ou la distribution de produits alimentaires (food). bonne connaissance de la,souhaitee dans la vente ou la distribution de produits alimentaires (food). bonne connaissance de la,A discuter,29 Apr-9:24,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10316878/Pré-vendeur-à-Salé.html
Technicien froid/energie/,sarl,Industrie / Ingénierie / Energie,Casablanca,,de 2 ans dans un poste similaire. le poste est base a casablanca.,Interim,29 Apr-9:24,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371438/Technicien-froidEnergie.html
contrôleur général - marrakech,Artus,Tourisme / Hôtellerie / Restauration,Marrakech,,,Interim,29 Apr-9:24,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371439/Contrôleur-général-Marrakech.html
Mécanicien,SOLANO EMLPOI,Autre,Casablanca,,en mecanique automobile et poids lourds.,Interim,29 Apr-9:24,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10368211/Mécanicien.html
Technicien de maintenance,SOLANO EMLPOI,Autre,Casablanca,,dans le,Interim,29 Apr-9:24,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10368215/Technicien-de-maintenance.html
Cariste c5,SOLANO EMLPOI,Autre,Casablanca,,,Interim,29 Apr-9:24,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10341688/Cariste-c5.html
Technicien en electricite,BESTPROFIL,Industrie / Ingénierie / Energie,Ouazzane,bac +2 premiere experience obligatoire,obligatoire. poste lister les,Interim,29 Apr-9:23,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371433/TECHNICIEN-EN-ELECTRICITE.html
Responsable marketing digital (content & ads ),centre de formation,Marketing / Communication / Publicité / Rp,Kénitra,"niveau d'etudes : bac+4/5 en marketing, communication experience souhaitee de 1ans a 3ans en communication digitale et creation visuelle maitrise des reseaux sociaux et des outils de creation graphique (type adobe, canva...) excellentes qualites redactionnelles pour postuler envoyez votre cv merci","souhaitee de 1ans a 3ans en communication digitale et creation visuelle maitrise des reseaux sociaux et des outils de creation graphique (type adobe, canva...) excellentes qualites redactionnelles pour postuler envoyez votre cv merci",CDI,29 Apr-9:20,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10363492/Responsable-Marketing-Digital-(Content-et-Ads-).html
Tourneur / fraiseur & chauffeur,AR,Industrie / Ingénierie / Energie,Casablanca,"experience minimum de 3 ans dans un poste similaire maitrise des machines de tournage et de fraisage lecture de plans techniques rigueur, precision et sens de lorganisation 2. chauffeur","minimum de 3 ans dans un poste similaire maitrise des machines de tournage et de fraisage lecture de plans techniques rigueur, precision et sens de lorganisation 2. chauffeur",A discuter,29 Apr-9:05,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10361834/Tourneur-Fraiseur-et-Chauffeur.html
Chargé(e) de clientèle sur la région tanger.,Société marocaine,Grande Distribution,Tanger,requises : -connaissance des techniques de vente et de negociation. -bonne expression orale et ecrite. -sens de lecoute et de la communication. -orientation client et sens du service. -esprit dequipe et rigueur. -capacite a gerer les priorites et le stress.,"-bac +2 / bac +3 en commerce, gestion, marketing, ou equivalent. -1 a 2 ans dans une",CDI,29 Apr-8:57,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371428/Chargé(e)-de-clientèle-sur-la-région-Tanger.html
Comptable junior - casablanca,DAMA,Comptabilité / Gestion / Audit,Casablanca,"- bac+5 en comptabilite / gestion - bonnes bases en comptabilite generale - capacite a comprendre et traiter des problematiques comptables variees - rigueur, organisation et autonomie - une premiere experience en environnement structure est souhaitable nous recrutons pour le compte de notre client un comptable(h/f)",en environnement structure est souhaitable nous recrutons pour le compte de notre client un comptable(h/f),Interim,29 Apr-8:57,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371427/Comptable-Junior-Casablanca.html
Opérateur de production à tanger,Action Tanger,Industrie / Ingénierie / Energie,Tanger,"experience en milieu industriel souhaitee (menuiserie, usine, cnc... selon ton cas) * bonne condition physique et capacite a travailler en equipe * sens de lorganisation et attention aux details * ponctualite et serieux","en milieu industriel souhaitee (menuiserie, usine, cnc... selon ton cas) * bonne condition physique et capacite a travailler en equipe * sens de lorganisation et attention aux details * ponctualite et serieux",CDD,29 Apr-8:50,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10365874/Opérateur-de-production-à-Tanger.html
Technical sales representative (data center & site,DEKRA Services,Informatique / Multimédia / Internet,Casablanca,"diplome bac+4/+5 (idealement en ingenierie, energie, it ou","dau moins 3 ans en vente de solutions techniques (energie, telecom, it ou data center) - bonne comprehension des infrastructures energetiques ou des data centers - capacite a travailler dans un environnement international et transverse - esprit dinitiative, autonomie et excellent relationnel - maitrise de langlais indispensable atouts supplementaires - experience en vente de solutions complexes (b2b) - connaissance du marche africain ou des grands comptes regionaux - capacite a gerer des projets strategiques",CDD,29 Apr-8:45,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371424/Technical-Sales-Representative-(Data-Center-et-Site.html
Directeur technique hôtel de luxe,Hôtel 5 étoiles,Maintenance / Entretien,Tanger,maitrise approfondie des outils de gmao et des systemes de gtb (gestion technique du batiment).,"minimum 5 a 8 ans sur un poste similaire, imperativement dans l'hotellerie de luxe (5*) ou au sein de complexes immobiliers de haut standing.",CDI,29 Apr-8:45,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371423/Directeur-Technique-Hôtel-de-Luxe.html
Offre – hôtesses d'accueil & conseillères,viva academy,Accueil / Secrétariat / Administration,Casablanca,"excellente presentation et sens du relationnel bonne communication en francais (larabe est un plus) motivation, serieux et esprit dequipe debutantes acceptees (",,CDI,29 Apr-8:20,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10369667/Offre-–-Hôtesses-daccueil-et-Conseillères.html
Peintre automobile débutant,MFE,Automobile,Casablanca,"diplome en carrosserie / peinture automobile debutant accepte serieux, motive et rigoureux conditions : lieu : casablanca",,Interim,29 Apr-8:16,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371418/Peintre-Automobile-Débutant.html
Offre emploi une comptable (f) a casablanca,CASA FIDUCIAIRE,Comptabilité / Gestion / Audit,Casablanca,,dans fiduciaires maitrisant la comptabilite jusquau bilan et les logiciels de comptabilite et connaissance dans le juridique et la fiscalite.,CDI,29 Apr-8:16,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371398/OFFRE-EMPLOI-UNE-COMPTABLE-(F)-A-CASABLANCA.html
Technicien topographe,SI,Construction / Btp,Beni Mellal,,dans les etudes topographiques des pistes et des routes.,A discuter,28 Apr-23:33,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371358/Technicien-topographe.html
Commercial immobilier,Ayad Developpement,Immobilier,Casablanca,"experience en centre d'appel obligatoire excellent sens de la communication et de la negociation oriente(e) resultats, organise(e) et autonome ce que nous offrons",en centre d'appel ? rejoignez notre equipe specialisee dans l'immobilier haut de gamme ! vos,CDI,28 Apr-23:00,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10365790/Commercial-immobilier.html
Community manager,LE 25 IMMOBILIER,Informatique / Multimédia / Internet,Marrakech,"en photo, video et montage (canva, capcut, adobe, etc.) * creatif(ve), dynamique et force de proposition * sens esthetique developpe et interet pour limmobilier * bonne communication en francais (langlais est un plus) ce que nous offrons * un environnement de travail jeune, dynamique et entrepreneurial * lopportunite de participer au developpement digital dune agence en pleine croissance * un cadre de travail stimulant au cur de marrakech * des projets creatifs et des possibilites devolution",en community management ou creation de contenu appreciee * bonne maitrise des reseaux sociaux et des tendances digitales,Anapec,28 Apr-22:50,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10365009/COMMUNITY-MANAGER.html
Directeur technique - ingénieur en électricité,Smart Electro Rafik,Industrie / Ingénierie / Energie,Casablanca,"pour le poste : directeur technique - ingenieur d'etat en electricite, laureat d'une grande ecole d'ingenieur en genie electrique, vous justifiez d'une experience significative au moins 10 ans dans la gestion des grandes projets en ingenierie electrique (bt/mt/hta), homme de terrain, votre rigueur, votre sens de l'organisation et votre esprit d'equipe sont des qualites qui vous permettront de reussir a ce poste. - rejoignez notre equipe en tant que directeur technique et vivez une experience enrichissante, postulez a cette offre et envoyez votre cv + photo par ce site marocannonces.","significative au moins 10 ans dans la gestion des grandes projets en ingenierie electrique (bt/mt/hta), homme de terrain, votre rigueur, votre sens de l'organisation et votre esprit d'equipe sont des qualites qui vous permettront de reussir a ce poste. - rejoignez notre equipe en tant que directeur technique et vivez une experience enrichissante, postulez a cette offre et envoyez votre cv + photo par ce site marocannonces.",A discuter,28 Apr-21:40,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10369242/Directeur-technique-ingénieur-en-électricité.html
Un(e) responsable des appels d'offres,Smart Electro Service,Accueil / Secrétariat / Administration,Casablanca,,"justifiee plus de 10 ans dans le meme poste propose, qui seras responsable des appels d'offres concernant les marches publics et prives pour le pilotage et le suivi des appels d'offres des projets electriques, ayant un esprit organisationnel, qui maitrise parfaitement la gestion des appels d'offres (les dossiers administratifs, techniques et financiers). - vous aurez comme principale",A discuter,28 Apr-21:05,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10369231/un(e)-Responsable-des-appels-doffres.html
Agence d'assurance cherche aide comptable,ASSURANCES NESMAOUI,Banque / Finance / Assurance,Casablanca,,,A discuter,28 Apr-20:50,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10370487/AGENCE-DASSURANCE-CHERCHE-AIDE-COMPTABLE.html
Ecole recrute plusieurs profils pour 2026-2027,ECOLE PRIVEE,Education / Social / Petite Enfance,Casablanca,,,A discuter,28 Apr-20:45,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10364097/Ecole-recrute-plusieurs-profils-pour-2026-2027.html
Agence d'assurance cherche des apporteurs d'affair,ASSURANCES NESMAOUI,Banque / Finance / Assurance,Casablanca,,,A discuter,28 Apr-20:40,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10370478/AGENCE-DASSURANCE-CHERCHE-DES-APPORTEURS-DAFFAIR.html
Agence d'assurance cherche gestionnaire production,AGENCE WAFA ASSURANCE BOUSKOURA,Banque / Finance / Assurance,Casablanca,,dans le,A discuter,28 Apr-20:20,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10370470/AGENCE-DASSURANCE-CHERCHE-GESTIONNAIRE-PRODUCTION.html
Chargée de la relation client whatsapp maroc/dubai,LA FONDA,Commercial / Vente,Tout le Maroc,"reactivite, rigueur, elegance, empathie exigence la fonda : savoir valoriser un produit premium adapter son discours a une clientele exigeante (maroc & international) creer une experience client fluide et qualitative positionnement : ce nest pas un agent call center cest un profil commercial premium, capable de vendre avec intelligence et elegance. merci denvoyer votre candidature a : recrutement@lafonda.ma avec la reference : maducrc-01",premium et en transformant chaque echange en vente. role relation client haut de gamme vente digitale representation de la marque objectif : convertir une conversation en commande,CDI,28 Apr-19:45,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10367236/Chargée-de-la-relation-client-Whatsapp-MarocDubai.html
Superviseur / chef d'équipe / agent de néttoyage,ARTIS ENVIRONNEMENT,Sécurité / Surveillance / Gardiennage,Marrakech,experience souhaitee dans le nettoyage ou un poste similaire,souhaitee dans le nettoyage ou un poste similaire,CDD,28 Apr-19:45,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10364063/Superviseur-Chef-déquipe-Agent-de-néttoyage.html
Commerciale / vendeuse magasin,Librairie à Marrakech,Commercial / Vente,Marrakech,,en vente maitrise des outils informatique sage et caisse (souhaitee) presentation soignee personne interessee veuillez envoyer votre cv avec photo,CDI,28 Apr-19:30,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10367246/Commerciale-Vendeuse-magasin.html
Vendeuse/ assistante manager,,Commercial / Vente,Casablanca,- bonne presentation - sens de laccueil et du service client - experience en vente - capacite a travailler en equipe - ponctualite et sens des responsabilites,en vente - capacite a travailler en equipe - ponctualite et sens des responsabilites,A discuter,28 Apr-18:57,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371253/VENDEUSE-ASSISTANTE-MANAGER.html
Chauffeur de camion,Maroc Express,Transport / Achat / Logistique,Casablanca,,,Interim,28 Apr-18:57,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10356906/Chauffeur-de-Camion.html
