Titre du poste,Entreprise,Secteur d'activite,Localisation geographique,Competences requises,Niveau d'experience requis,Type de contrat,Date de publication,URL source de l'offre
Assistante polyvalente / assistante administration,Raha fer,Accueil / Secrétariat / Administration,Casablanca,"requises : - bonne maitrise des outils bureautiques (word, excel, outlook) - sens de lorganisation et capacite a gerer plusieurs taches simultanement - aisance relationnelle et bonne communication ecrite et orale - rigueur, discretion et fiabilite - autonomie et esprit dinitiative - connaissances en administration des ventes et suivi commercial appreciees","prealable dans un poste similaire souhaitee - capacite dadaptation et polyvalence - maitrise du francais indispensable (autres langues appreciees) objectif du poste : assurer un soutien efficace a la direction et a lequipe commerciale, garantir un suivi rigoureux des ventes et contribuer a la sa",Stage,29 Apr-16:25,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10367898/assistante-polyvalente-assistante-administration.html
Designer 3d (3ds max),confidentiel,Marketing / Communication / Publicité / Rp,Rabat,"formation en design, architecture dinterieur, ou equivalent - experience de 2 a 5 ans minimum. - maitrise avancee de 3ds max (obligatoire) - sens aigu du volume, de lespace et de la mise en scene - creatif(ve), autonome, rigoureux(se) et capable de travailler en equipe","de 2 a 5 ans minimum. - maitrise avancee de 3ds max (obligatoire) - sens aigu du volume, de lespace et de la mise en scene - creatif(ve), autonome, rigoureux(se) et capable de travailler en equipe",CDI,29 Apr-16:25,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10367895/Designer-3D-(3Ds-Max).html
Comptable en intérim (h/f),DEKRA Services,Banque / Finance / Assurance,Casablanca,"- bonne connaissance des normes comptables et fiscales. - esprit danalyse - capable de travailler en equipe - rigoureux, serieux et ayant le sens de la confidentialite",dau moins 2 ans dans une,Interim,29 Apr-16:19,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10334391/Comptable-en-intérim-(HF).html
Manager e commerce,confidentiel,Grande Distribution,Marrakech,"bac+3/5 en commerce, marketing ou equivalent experience en e-commerce, idealement en grande distribution bonne connaissance du","en e-commerce, idealement en grande distribution bonne connaissance du",CDI,29 Apr-16:19,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10356067/manager-e-commerce.html
Stagiaire en ressources humaines,Confidentiel,Ressources Humaines / Recrutement / Intérim,Tanger,formation en gestion des ressources humaines ou equivalent bonne maitrise du francais (ecrit et oral) bon sens de lorganisation et de la communication motivation et envie dapprendre dans un environnement dynamique,,Stage,29 Apr-16:18,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371825/Stagiaire-en-Ressources-Humaines-Tanger.html
Charge(é) de recrutement,BEST PROFIL,Tourisme / Hôtellerie / Restauration,Agadir,,,Interim,29 Apr-16:18,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371824/CHARGE(é)-DE-RECRUTEMENT-AGADIR.html
Assistante de direction,Agence immo elite consulting,Accueil / Secrétariat / Administration,Marrakech,"formation en gestion, administration ou comptabilite experience souhaitee dans un poste similaire maitrise des outils bureautiques (excel, word...) sens de lorganisation, rigueur et discretion excellente presentation et sens du relationnel participer activement a la bonne image de l'agence maitrise parfaite du francais (ecrit et oral).",", est specialisee dans limmobilier a marrakech : achat, vente, location, gestion de patrimoine, consulting et conseil en investissement. dans le cadre de notre developpement, nous recrutons une assistante administrative polyvalente.",A discuter,29 Apr-16:15,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371122/Assistante-de-direction.html
Technicienne de laboratoire d’analyses mÉdicales,LABO,Santé / Médical,Oujda,"requises : - licence en biologie medicale ou equivalent. - experience prealable de 1 an minimum dans un laboratoire danalyses medicales . - connaissance des techniques de laboratoire et des normes de qualite. - rigueur, precision et sens de l'organisation. - capacite a travailler en equipe.","prealable de 1 an minimum dans un laboratoire danalyses medicales . - connaissance des techniques de laboratoire et des normes de qualite. - rigueur, precision et sens de l'organisation. - capacite a travailler en equipe.",A discuter,29 Apr-16:15,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10368581/TECHNICIENNE-DE-LABORATOIRE-D’ANALYSES-MÉDICALES.html
Commercial sedentaire et achat,technique equipement,Industrie / Ingénierie / Energie,Casablanca,,,CDD,29 Apr-16:15,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10367882/COMMERCIAL-SEDENTAIRE-ET-ACHAT.html
Dessinateur autocad/revit construction metalliques,COMPACT bureau d'etudes,Construction / Btp,Tanger,"et vos ambitions, vous pourrez egalement participer a la realisation de modeles de calcul 3d. - exigences de l'offre : diplome minimum bac +2 en construction metallique / bim. experience de plus de 3 ans bonne maitrise dautocad avec un bon sens technique bonne maitrise de revit connaissances en modelisation bim solides bases techniques en structures",de plus de 3 ans bonne maitrise dautocad avec un bon sens technique bonne maitrise de revit connaissances en modelisation bim solides bases techniques en structures,A discuter,29 Apr-16:15,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10367109/Dessinateur-AutocadRevit-Construction-Metalliques.html
Agent de production opérateur,APTIV SERVICES MAROC TANGER - M2,Automobile,Tanger,,,CDI,29 Apr-16:10,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10370271/Agent-de-production-Opérateur.html
Drh,BEST PROFIL,Tourisme / Hôtellerie / Restauration,Agadir,. gerer les relations sociales et negocier avec les partenaires sociaux. optimiser la politique de remuneration et d'avantages sociaux. assurer la conformite aux reglementations locales et internationales en matiere de droit du travail. developper une culture d',,Interim,29 Apr-16:07,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371822/DRH-AGADIR.html
Réceptionniste anglophone,Confidentielle,Accueil / Secrétariat / Administration,Rabat,,dans un poste similaire en administration ou reception. * niveau correct en anglais. * reside a rabat. remuneration : 500 dhs par jour.,Interim,29 Apr-16:07,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371817/Réceptionniste-Anglophone-Rabat.html
Assistante ressources humaines a,SOCIETE,Immobilier,Casablanca,,au moins de 3 ans dans un poste similaire. vos principales,A discuter,29 Apr-16:00,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10367085/Assistante-Ressources-Humaines-A-CASABLANCA.html
Chef de chantier btp avec équipe,sergab,Construction / Btp,Casablanca,,exigee.,A discuter,29 Apr-16:00,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10363898/Chef-de-Chantier-BTP-avec-équipe.html
Agent d'exploitation à,Confidentiel,Transport / Achat / Logistique,El jadida,,,A discuter,29 Apr-15:59,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371815/Agent-dexploitation-à-El-jadida.html
Coordinateur de maintenance (parc auto),Confidentiel,Transport / Achat / Logistique,Tanger,"bac+2/3 bts experience en maintenance automobile, idealement sur parc auto. bon relationnel pour gerer les interactions avec clients et prestataires. organisation, rigueur et capacite a gerer plusieurs taches simultanement. sens de linitiative et esprit dequipe","en maintenance automobile, idealement sur parc auto. bon relationnel pour gerer les interactions avec clients et prestataires. organisation, rigueur et capacite a gerer plusieurs taches simultanement. sens de linitiative et esprit dequipe",A discuter,29 Apr-15:59,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371814/Coordinateur-de-Maintenance-(parc-auto)-Tanger.html
Chauffeur de transport personnel /,Confidentiel,Transport / Achat / Logistique,Mohammedia,,dans le,CDI,29 Apr-15:58,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371816/Chauffeur-de-transport-personnel-mohammedia.html
Manutentionnaires à,Confidentiel,Transport / Achat / Logistique,Mohammedia,"- bonne condition physique (travail debout, port de charges) - serieux, ponctuel, dynamique - disponible immediatement - residant a mohammedia ou environs",,A discuter,29 Apr-15:58,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371813/Manutentionnaires-à-Mohammedia.html
Assistant(e) contrôleur de gestion,,Comptabilité / Gestion / Audit,Agadir,"formation en finance, comptabilite ou controle de gestion minimum 5 ans dexperience dans un poste similaire excellente maitrise de la comptabilite analytique bonne connaissance des systemes sage et idealement sap business one (b1) experience dans le secteur agricole ou agro-industriel fortement appreciee solides capacites danalyse, rigueur et sens de lorganisation autonomie et capacite a travailler en interaction avec plusieurs departements - conditions poste base a agadir disponibilite immediate ou a convenir remuneration attractive selon profil et experience","dans un poste similaire excellente maitrise de la comptabilite analytique bonne connaissance des systemes sage et idealement sap business one (b1) experience dans le secteur agricole ou agro-industriel fortement appreciee solides capacites danalyse, rigueur et sens de lorganisation autonomie et capacite a travailler en interaction avec plusieurs departements - conditions poste base a agadir disponibilite immediate ou a convenir remuneration attractive selon profil et experience",A discuter,29 Apr-15:55,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371105/Assistant(e)-Contrôleur-de-Gestion.html
Techniciens Électriciens,Volet watt Énergie,Autre,Casablanca,,confirmee en la matiere plus 5ans dans le,A discuter,29 Apr-15:55,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10369491/Techniciens-Électriciens.html
Resp. adv et recouvrement en immobilier,SOCIETE,Immobilier,Casablanca,,de 5 ans minimum dans un poste similaire.,CDI,29 Apr-15:55,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10367083/Resp-ADV-et-Recouvrement-en-Immobilier.html
Préparateur de commandes à casablanc,Confidentiel,Transport / Achat / Logistique,Had Soualem,"experience souhaitee en preparation de commandes ou en logistique rigueur, rapidite et sens de lorganisation capacite a travailler en equipe et a gerer la cadence residence a had soualem ou a proximite souhaitee","souhaitee en preparation de commandes ou en logistique rigueur, rapidite et sens de lorganisation capacite a travailler en equipe et a gerer la cadence residence a had soualem ou a proximite souhaitee",A discuter,29 Apr-15:54,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371812/Préparateur-de-commandes-à-had-soualem-Casablanc.html
Cariste à pince avec permis caces à tit melil,Confidentiel,Transport / Achat / Logistique,Mediouna,,,A discuter,29 Apr-15:54,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371811/Cariste-à-pince-avec-permis-caces-à-tit-melil.html
Chargé(e) de recouvrement & facturation,Confidentiel,Transport / Achat / Logistique,Tanger,"- bac+2 a bac+5 en gestion, finance, comptabilite ou equivalent - experience en recouvrement & facturation idealement dans une societe de transport internationale - bonne maitrise des outils bureautiques - bon relationnel et aisance en communication poste base a tanger",en recouvrement & facturation idealement dans une societe de transport internationale - bonne maitrise des outils bureautiques - bon relationnel et aisance en communication poste base a tanger,CDI,29 Apr-15:50,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10366343/Chargé(e)-de-Recouvrement-et-Facturation-–-Tanger.html
Planificateur logistique,Confidentiel,Grande Distribution,Casablanca,"bac+2 a bac+5 en logistique, transport ou gestion. premiere experience souhaitee dans un poste similaire. bonne maitrise dexcel et sens de lorganisation.",souhaitee dans un poste similaire. bonne maitrise dexcel et sens de lorganisation.,CDI,29 Apr-15:49,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371806/Planificateur-Logistique-Casablanca.html
Responsable logistique,Confidentiel,Grande Distribution,Casablanca,"en organisation, planification et gestion des priorites. capacite a piloter des equipes et a travailler en transversal. sens de lanalyse, reactivite et orientation resultats.","confirmee dans un poste similaire (idealement en grande distribution). bonne maitrise des outils informatiques, notamment excel (tcd, analyse de donnees). solides",CDI,29 Apr-15:49,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371804/Responsable-Logistique-Casablanca.html
Comptable /,Société GÉNÉRAL BUREAU,Comptabilité / Gestion / Audit,Casablanca,"bac +3 en comptabilite, finance ou equivalent experience minimum de 5 ans dans un poste similaire bonne maitrise des outils comptables et informatiques rigueur, organisation et sens de la confidentialite capacite a travailler en equipe et a respecter les delais","minimum de 5 ans dans un poste similaire bonne maitrise des outils comptables et informatiques rigueur, organisation et sens de la confidentialite capacite a travailler en equipe et a respecter les delais",CDI,29 Apr-15:45,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10367078/Comptable-casablanca.html
Acheteuse en btp confirmée,Ste Imilchil SARL,Construction / Btp,Rabat,-experience obligatoire de minimum 5 ans dans les achats btp,probante dau moins 5 ans dans les achats en btp.,CDI,29 Apr-15:45,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10366333/Acheteuse-en-BTP-Confirmée.html
Comptable (h/f),Multinational,Mode / Luxe / Beauté,Casablanca,"- bac+3 minimum en comptabilite / finance - experience de 2 a 4 ans dans un poste similaire - bonne maitrise des outils comptables et excel - rigueur, organisation et sens de la confidentialite","de 2 a 4 ans dans un poste similaire - bonne maitrise des outils comptables et excel - rigueur, organisation et sens de la confidentialite",CDI,29 Apr-15:39,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371788/Comptable-(HF)-–-Casablanca.html
Assistante administrative commerciale,Laboratoire de métrologie,Commercial / Vente,Casablanca,"experience obligatoire dans un poste similaire bac+2 / bac+3 en gestion, commerce ou administration excellente maitrise de word, excel et outlook bon niveau en francais (ecrit et oral) sens de lorganisation, autonomie et rigueur bonne presentation et aisance relationnelle - poste base a : casablanca ( roches noires ) - pour postuler : merci denvoyer votre cv via ce site marocannonces","obligatoire dans un poste similaire bac+2 / bac+3 en gestion, commerce ou administration excellente maitrise de word, excel et outlook bon niveau en francais (ecrit et oral) sens de lorganisation, autonomie et rigueur bonne presentation et aisance relationnelle - poste base a : casablanca ( roches noires ) - pour postuler : merci denvoyer votre cv via ce site marocannonces",A discuter,29 Apr-15:39,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371793/Assistante-administrative-commerciale.html
Chargée de communication,Groupe EIPMC,Marketing / Communication / Publicité / Rp,Marrakech,en redaction et en communication verbale. - maitrise des outils de communication numerique et des reseaux sociaux. -etre flexible et apte de travailler sous pression - capacite a travailler de maniere autonome et en equipe. qualites recherchees : - sens de lorganisation et gestion efficace du temps. - excellent relationnel et aptitude a travailler avec des personnes de differents horizons. nous offrons : - un environnement de travail dynamique et stimulant. - des opportunites de developpement professionnel. - un,professionnelle de 2 a 5 ans dans un poste similaire. - excellentes,A discuter,29 Apr-15:35,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10370229/Chargée-de-communication.html
Directeur pédagogique / enseignant,école privé,Education / Social / Petite Enfance,Marrakech,,,A discuter,29 Apr-15:35,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10363146/Directeur-pédagogique-enseignant.html
Enseignantes d'anglais maternelle et primaire,,Education / Social / Petite Enfance,Rabat,"et qualites : sens pedagogique adapte aux jeunes enfants creativite, dynamisme et esprit dinitiative patience, bienveillance et capacite decoute maitrise des methodes denseignement ludiques (jeux, chansons, activites interactives) capacite a travailler en equipe et a sadapter aux differents niveaux disponibilite souhaitee : immediate si notre offre correspond a votre profil, merci de nous faire parvenir votre cv.",dau moins 3 ans dans un poste similaire.,,29 Apr-15:30,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10366311/Enseignantes-danglais-maternelle-et-primaire.html
Receptioniste,hotel,Tourisme / Hôtellerie / Restauration,Marrakech,,,CDI,29 Apr-15:30,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10365480/Receptioniste.html
Technico commercial rabat / marrakech,SIRMEL,Commercial / Vente,Casablanca,,,CDI,29 Apr-15:30,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10363864/Technico-commercial-Rabat-Marrakech.html
Mécaniciens et électromécaniciens,Tube et profil,Maintenance / Entretien,Casablanca,,min de 4 ans en maintenance electrique et mecanique indus.,CDI,29 Apr-15:30,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10363137/Mécaniciens-et-électromécaniciens.html
Trade marketing manager (h/f),Multinational,Mode / Luxe / Beauté,Casablanca,- bac+5 en marketing / communication - experience de 3 a 5 ans en trade marketing / retail / fmcg - bonne maitrise du merchandising et de lanalyse commerciale - excellentes capacites organisationnelles et esprit analytique - leadership transversal et orientation resultats,de 3 a 5 ans en trade marketing / retail / fmcg - bonne maitrise du merchandising et de lanalyse commerciale - excellentes capacites organisationnelles et esprit analytique - leadership transversal et orientation resultats,CDI,29 Apr-15:26,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371782/Trade-Marketing-Manager-(HF)-–-Casablanca.html
Magasinier,IPA,Transport / Achat / Logistique,Casablanca,"niveau bac minimum (souhaite) sens de lorganisation, rigueur et esprit dequipe dynamisme et capacite a travailler dans un environnement structure - lieu de travail : sidi bernoussi casablanca",,A discuter,29 Apr-15:25,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10366303/Magasinier.html
Magasinier coupe câble,SIRMEL,Transport / Achat / Logistique,Casablanca,,dans la coupe de cable. savoir lire et ecrire travail en equipe permis caces,CDI,29 Apr-15:25,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10363861/Magasinier-coupe-câble.html
Responsable logistique,Oxynord,Transport / Achat / Logistique,Casablanca,"personnelles : - leadership et esprit dequipe - reactivite et capacite a gerer les imprevus - sens de lanalyse et de la resolution de problemes - rigueur, autonomie et sens des priorites nous offrons : - un environnement de travail stimulant - des perspectives devolution - remuneration attractive selon profil","de 3 ans confirmee dans un poste similaire - bonne maitrise des outils de gestion logistique (erp, excel...) - sens de responsabilite et de lorganisation",A discuter,29 Apr-15:25,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10363860/Responsable-Logistique.html
Responsable ressources humaines,Oxynord,Industrie / Ingénierie / Energie,Tanger,des collaborateurs (plans de,de 2 ans dans un poste similaire est souhaitable - bonne maitrise du droit du travail - excellentes capacites relationnelles et organisationnelles - sens de la confidentialite et de lecoute,A discuter,29 Apr-15:25,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10363855/Responsable-Ressources-Humaines.html
Mechanical industrial deisgner,Confidentiel,Industrie / Ingénierie / Energie,Casablanca,,"in mechanical product design, very skilled in product design using solidworks / pdm. with a very good level in english.",CDI,29 Apr-15:21,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371772/Mechanical-Industrial-Deisgner.html
Agent / femme de sécurité,La Terrasse des épices,Tourisme / Hôtellerie / Restauration,Marrakech,un premiere experience dans la securite avec au moins une bonne maitrise de la langue francaise. nous acceptons les profils debutants. merci d'envoyer vos cv's directement a travers marocannonces.,dans la securite avec au moins une bonne maitrise de la langue francaise. nous acceptons les profils debutants. merci d'envoyer vos cv's directement a travers marocannonces.,CDD,29 Apr-15:15,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371072/Agent-Femme-de-Sécurité.html
OpÉrateur machine dÉcoupe laser cnc,SARL,Industrie / Ingénierie / Energie,Deroua,"- lecture et interpretation de plans techniques et de documents de fabrication - maitrise des reglages de base de machines a commande numerique - connaissances en metrologie, controle qualite et securite industrielle qualites personnelles : - rigueur dans le respect des consignes et des tolerances - forte autonomie dans le travail quotidien - sens des responsabilites et de la securite - bonne capacite a travailler en equipe",- une premiere experience reussie sur machines de decoupe laser fibre et/ou plasma cnc est souhaitee,CDI,29 Apr-15:15,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10366294/OPÉRATEUR-MACHINE-DÉCOUPE-LASER-CNC.html
Electricien maintenance,société agroalimentaire,Industrie / Ingénierie / Energie,Casablanca,,3 ans a 4 ans similaire poste transport non assure,CDD,29 Apr-15:10,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10367813/electricien-maintenance.html
ChargÉ d'import,MAROC FORCE EMPLOI,Autre,Casablanca,,en operations dimport - bonne maitrise des reglementations et procedures dimport - connaissance en assurance transport,Interim,29 Apr-15:03,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371756/CHARGÉ-DIMPORT.html
Chef de carriere,CARRIERE BENGURIR,Construction / Btp,Benguerir,,,CDI,29 Apr-14:59,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371695/CHEF-DE-CARRIERE.html
Aide livreur permis c à,Confidentiel,Grande Distribution,Marrakech,- niveau bac ou plus - permis de conduire type c - experience obligatoire dans un poste similaire nhesitez pas a envoyer vos cv.,obligatoire dans un poste similaire nhesitez pas a envoyer vos cv.,A discuter,29 Apr-14:58,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10371730/Aide-livreur-permis-C-à-Marrakech.html
Chef de chantier btp expérimenté (h/f) avec équi,Atelier Reyad,Construction / Btp,Casablanca,,"+10 ans en btp (projets publics et prives) - capacite a gerer une equipe remuneration : 10 000 a 15 000 dh, negociable selon experience et profil localisation : casablanca -maroc",CDI,29 Apr-14:55,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10364809/Chef-de-Chantier-BTP-expérimenté-(HF)-–-Avec-équi.html
Chef de projet technicien génie civil,Atelier Reyad,Construction / Btp,Casablanca,,"+10 ans en btp remuneration : 8 000 a 12 000 dh, negociable selon experience localisation : casablanca-maroc",CDI,29 Apr-14:55,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10364808/Chef-de-projet-technicien-génie-civil.html
Agent contrôle qualité,Société Industriel,Industrie / Ingénierie / Energie,Kénitra,formation : bac+2 ou bac+3 technique (construction metallique ou traitement de surface) ; bonne maitrise de la langue francaise et des outils informatiques ; bonne maitrise des outils qualite ; experience : minimum 1 an dans le secteur industriel ; disponibilite : immediate.,minimum 1 an dans le secteur industriel ; disponibilite : immediate.,A discuter,29 Apr-14:50,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10370190/Agent-Contrôle-qualité.html
Infirmier(e) polyvalent(e) en hémodialyse,Centre d'Hémodialyse Ain Aouda,Santé / Médical,Tout le Maroc,- bac+3 avec une experience de 3 ans - excellentes aptitudes relationnelles - capacite a gerer les situations difficiles - ponctualite - l'hygiene et la securite des patients. merci denvoyer vos candidatures par mail via ce site marocannonces,"minimale de 3 ans, pour rejoindre notre equipe et assurer les responsabilites liees a ce poste.",A discuter,29 Apr-14:50,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10367015/Infirmier(e)-polyvalent(e)-en-Hémodialyse.html
Responsable des appels d’offres et achats,confidentiel,Accueil / Secrétariat / Administration,Rabat,"formation bac+4/5 en management, gestion, ou equivalent experience obligatoire de plus de 6 ans dans un poste similaire bonne connaissance des marches publics et prives excellentes capacites redactionnelles et analytiques sens de la negociation et de lorganisation maitrise des outils bureautiques",obligatoire de plus de 6 ans dans un poste similaire bonne connaissance des marches publics et prives excellentes capacites redactionnelles et analytiques sens de la negociation et de lorganisation maitrise des outils bureautiques,CDI,29 Apr-14:50,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10362195/Responsable-des-Appels-d’Offres-et-Achats.html
Infirmiere medicale,LABORATOIRE ANALYSES MEDICALES,Biologie / Chimie / Pharmaceutique,Marrakech,,exigee maitrise de la prise de sang,CDI,29 Apr-14:45,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10368497/INFIRMIERE-MEDICALE.html
Technicien de laboratoire experimente,LABORATOIRE ANALYSES MEDICALES,Santé / Médical,Marrakech,,3ans minimum maitrise de toutes les paillasses poste sur marrakech,CDI,29 Apr-14:45,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10368495/TECHNICIEN-DE-LABORATOIRE-EXPERIMENTE.html
Ingénieur qa (cypress) 2 ans d’expérience minimum,ALTER IPSO,Informatique / Multimédia / Internet,Marrakech,"requises - experience obligatoire en automatisation de tests e2e avec cypress - maitrise obligatoire de git (gestion de versions, branches, merge, pull request) - bonne maitrise de docker (pull, push, execution de commandes shell) - connaissances solides en sql (requetes, validation de donnees) - experience en environnement saas avec cycles de deploiement frequents - familiarite avec aws (ec2) - aisance avec ssh et les environnements linux - experience avec les pipelines ci/cd, notamment github actions (yaml) - maitrise doutils de test dapi (postman, bruno ou equivalent) - excellentes","obligatoire en automatisation de tests e2e avec cypress - maitrise obligatoire de git (gestion de versions, branches, merge, pull request) - bonne maitrise de docker (pull, push, execution de commandes shell) - connaissances solides en sql (requetes, validation de donnees) - experience en environnement saas avec cycles de deploiement frequents - familiarite avec aws (ec2) - aisance avec ssh et les environnements linux - experience avec les pipelines ci/cd, notamment github actions (yaml) - maitrise doutils de test dapi (postman, bruno ou equivalent) - excellentes",CDI,29 Apr-14:45,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10367791/Ingénieur-QA-(Cypress)–-2-ans-d’expérience-minimum.html
Assistante commerciale/administrative,TOPOTRADE,Accueil / Secrétariat / Administration,Casablanca,"- bonne presentation et sens du relationnel - travail sous pression - bonne maitrise informatique (excel, word, email) - sens de lorganisation et autonomie - experience souhaitee dans un poste similaire nous offrons",souhaitee dans un poste similaire nous offrons,CDI,29 Apr-14:45,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10367786/ASSISTANTE-COMMERCIALEADMINISTRATIVE.html
Enseignante francais primaire,GROUPE SCOLAIRE TRILINGUE ANFA,Education / Social / Petite Enfance,Casablanca,,"s ou plus vous maitrisez le francais dans le cadre de son enseignement. vous avez des qualites dadaptation aux differents temperament des eleves. vous etes capable de creer une atmosphere dapprentissage positive afin dinciter les eleves a penser et agir de maniere autonome. vous faites preuve dempathie et dune grande capacite a communiquer et transmettre. vous mettez en place des activites ludiques et creatives pour favoriser les apprentissages. vous maitrisez les outils informatiques (du type word, excel et powerpoint) et etes a laise pour travailler dans un environnement numerique.",CDI,29 Apr-14:45,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10366259/ENSEIGNANTE-FRANCAIS-PRIMAIRE.html
Aide comptable,Artser maroc,Comptabilité / Gestion / Audit,Casablanca,,,CDI,29 Apr-14:45,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10366243/Aide-comptable.html
Offre de stage administration & informatique,Cabinet d’administration et de gestion,Accueil / Secrétariat / Administration,Casablanca,- age : entre 20 et 25 ans - niveau detudes : a partir du niveau baccalaureat (bac ou plus),"25 ans - niveau detudes : a partir du niveau baccalaureat (bac ou plus) - formation en administration, gestion ou informatique",Stage,29 Apr-14:45,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10362172/Offre-de-stage-–-Administration-et-Informatique.html
Chargé(e) d’approvisionnement,AKSAM,Transport / Achat / Logistique,Casablanca,"diplome bac+3 en logistique, gestion ou equivalent 1ere experience souhaitee bon niveau en informatique (maitrise des outils bureautiques et systemes de gestion type erp) sens de lorganisation, rigueur et reactivite bon esprit dequipe et capacite de coordination","souhaitee bon niveau en informatique (maitrise des outils bureautiques et systemes de gestion type erp) sens de lorganisation, rigueur et reactivite bon esprit dequipe et capacite de coordination",A discuter,29 Apr-14:40,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10365402/Chargé(e)-d’approvisionnement.html
Commercial terrain maroc,MAXAB,Commercial / Vente,Tout le Maroc,,,A discuter,29 Apr-14:40,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10365400/Commercial-Terrain-Maroc.html
Declarant en douane,entreprise,Entreprise / Import / Export,Casablanca,"bac+5 avec experience de 3 a 5 ans en tant que declarant(e) en douane. maitrise du systeme badr et bonne connaissance de la reglementation douaniere marocaine. sens de lorganisation, rigueur et reactivite. excellentes capacites de communication et esprit dequipe.","de 3 a 5 ans en tant que declarant(e) en douane. maitrise du systeme badr et bonne connaissance de la reglementation douaniere marocaine. sens de lorganisation, rigueur et reactivite. excellentes capacites de communication et esprit dequipe.",CDI,29 Apr-14:40,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10363815/DECLARANT-EN-DOUANE.html
Assistante médicale,Cabinet de Pédiatrie,Accueil / Secrétariat / Administration,Marrakech,,"en cabinet medical (idealement pediatrie) - excellente presentation et bon relationnel avec les enfants - maitrise du francais (arabe indispensable, anglais est un plus) - bonne organisation, rigueur et sens du service - maitrise basique de linformatique (word, excel, logiciels medicaux) - conditions",CDI,29 Apr-14:40,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10363085/Assistante-médicale.html
